# view_box
0 0 1300 835
ADR  486 140 182 181
AEG  765 312 144 179
ale  828 596 221 94
ant  1123 355 75 76
apu  503 233 141 107
ara  1151 449 148 169
arm  1169 201 130 128
ath  697 352 118 67
AUS  487 403 177 119
bal  166 262 138 112
bay  584 734 488 100
BER  156 323 226 126
bit  942 216 107 96
BLA  861 36 340 240
byz  837 257 127 97
cap  1046 260 141 150
car  297 436 157 65
che  815 0 484 206
CIL  956 381 183 115
cir  260 485 124 133
cyr  687 580 178 127
cor  388 242 29 56
cre  812 484 77 22
cyp  1007 460 68 41
dac  671 64 226 215
dal  516 115 182 173
dam  1152 314 147 149
EGY  853 487 173 131
epi  667 282 64 93
etr  368 128 86 78
gal  910 256 156 129
gau  103 1 296 231
GOP  1001 537 128 67
GOS  542 583 181 96
GOT  427 492 233 121
IBE  0 412 200 540
ill  561 109 198 187
ION  598 318 176 118
isa  960 361 112 69
jer  1116 523 45 76
lep  462 606 228 115
LIG  257 186 181 446
lus  0 205 188 169
LYB  649 499 221 109
mac  708 252 148 109
mar  615 673 229 110
mau  0 439 308 222
mas  214 120 173 118
mem  839 637 248 144
MES  656 423 160 99
mil  850 349 131 92
MIN  864 426 106 73
nab  1135 594 74 88
nea  506 275 109 141
num  353 549 150 81
pet  1135 595 74 88
pha  338 603 286 168
PUN  344 360 168 149
rav  443 153 91 89
rha  372 1 162 140
RED  1070 613 224 221
rom  435 190 79 108
sag  0 327 178 114
sah  0 593 610 242
sad  373 302 49 82
sam  526 0 324 149
sic  487 408 83 58
sid  1133 423 69 59
sii  1055 572 85 100
sip  728 401 60 61
spa  1031 187 196 108
SYR  1010 446 132 97
tar  76 231 189 105
tha  351 483 98 81
the  1128 475 62 55
tye  1044 608 185 227
TYN  400 225 188 193
ven  433 102 88 67
vin  490 42 86 89



